public_post_id,brand,brand_id,year,month,year_month,month_index,weekday,hour,retweet_count,reply_count,like_count,quote_count,engagement_total,hashtag_count,mention_count,is_retweet,Entertainment,Trendiness,Interaction,Customization,entropy_ce_score,critic_ce_score,cilos_score,idocriw_score,merec_score,additive_engagement_score
BP00001,Chanel,3,2022,8,2022-08,34,Friday,16,20,4,87,0,111,1,0,False,0,0,2,0,17.22573,20.62327,26.54381,22.82685,23.73236,111
BP00002,Chanel,3,2022,8,2022-08,34,Tuesday,8,193,43,522,5,763,1,0,False,0,0,2,0,36.27874,36.1366,38.00688,36.74647,37.02149,763
BP00003,Chanel,3,2022,7,2022-07,33,Wednesday,16,187,72,440,7,706,4,0,False,0,0,5,0,37.67951,37.04353,37.76949,37.40491,37.5431,706
BP00004,Chanel,3,2022,7,2022-07,33,Wednesday,12,161,36,426,7,630,3,0,False,0,0,4,0,36.43341,35.99301,37.45495,36.44047,36.65052,630
BP00005,Chanel,3,2022,7,2022-07,33,Wednesday,8,183,27,504,7,721,2,0,False,0,0,3,0,36.09378,35.90255,38.00155,36.4859,36.77483,721
BP00006,Chanel,3,2022,7,2022-07,33,Saturday,13,224,43,584,26,877,2,0,False,0,0,3,0,39.62801,38.59963,39.57176,38.78238,38.90008,877
BP00007,Chanel,3,2022,7,2022-07,33,Saturday,9,151,17,426,2,596,2,0,False,0,0,3,0,33.09265,33.57409,36.56305,34.47812,34.90491,596
BP00008,Chanel,3,2022,7,2022-07,33,Friday,18,149,15,378,6,548,2,0,False,0,1,3,0,34.69883,34.58934,36.82944,35.20153,35.51561,548
BP00009,Chanel,3,2022,7,2022-07,33,Friday,17,155,15,469,1,640,2,0,False,0,0,3,0,31.9168,32.82375,36.48647,33.94074,34.46166,640
BP00010,Chanel,3,2022,7,2022-07,33,Friday,13,128,16,330,5,479,2,0,False,0,0,3,0,34.358,34.19532,36.23063,34.76745,35.05441,479
BP00011,Chanel,3,2022,7,2022-07,33,Thursday,18,59,13,147,2,221,1,0,False,0,0,2,0,31.92942,31.64174,32.98027,32.09221,32.29685,221
BP00012,Chanel,3,2022,7,2022-07,33,Thursday,16,121,10,299,4,434,1,0,False,1,0,2,0,33.22117,33.27822,35.71712,33.9589,34.30578,434
BP00013,Chanel,3,2022,7,2022-07,33,Thursday,8,88,7,259,1,355,1,0,False,0,0,2,0,30.3893,31.03608,34.30197,31.9822,32.4389,355
BP00014,Chanel,3,2022,7,2022-07,33,Wednesday,16,124,17,290,6,437,1,0,False,0,0,2,0,34.69801,34.34542,35.96663,34.82246,35.06255,437
BP00015,Chanel,3,2022,7,2022-07,33,Wednesday,14,101,7,300,4,412,1,0,False,0,0,2,0,32.69416,32.77928,35.55603,33.45648,33.81801,412
BP00016,Chanel,3,2022,7,2022-07,33,Wednesday,10,115,12,354,3,484,1,0,False,0,0,2,0,33.07478,33.26027,36.01467,33.99405,34.36102,484
BP00017,Chanel,3,2022,7,2022-07,33,Wednesday,8,96,7,246,2,351,1,0,False,0,1,2,0,31.43063,31.77339,34.58066,32.57851,32.97874,351
BP00018,Chanel,3,2022,7,2022-07,33,Tuesday,9,102,14,393,1,510,0,0,False,0,0,1,0,31.6227,32.26765,35.66602,33.21379,33.65974,510
BP00019,Chanel,3,2022,7,2022-07,33,Thursday,17,179,49,481,11,720,2,0,False,0,0,3,0,37.90591,37.17691,38.23268,37.4873,37.63394,720
BP00020,Chanel,3,2022,7,2022-07,33,Thursday,9,152,16,415,2,585,2,0,False,0,0,3,0,32.98857,33.48506,36.4832,34.39837,34.83051,585
BP00021,Chanel,3,2022,7,2022-07,33,Wednesday,16,133,9,371,1,514,1,0,False,0,0,2,0,31.01812,31.92868,35.62704,33.03968,33.56981,514
BP00022,Chanel,3,2022,7,2022-07,33,Wednesday,9,142,14,394,2,552,2,0,False,0,0,3,0,32.7467,33.23458,36.26557,34.13821,34.57016,552
BP00023,Chanel,3,2022,7,2022-07,33,Tuesday,16,134,11,376,3,524,2,0,False,0,1,3,0,33.0176,33.33558,36.28323,34.15085,34.55788,524
BP00024,Chanel,3,2022,7,2022-07,33,Tuesday,9,113,9,321,4,447,2,0,False,0,0,3,0,33.09828,33.18307,35.85494,33.86897,34.22625,447
BP00025,Chanel,3,2022,7,2022-07,33,Monday,13,70,8,212,1,291,2,2,False,0,0,5,2,30.41686,30.83447,33.62447,31.64723,32.03451,291
BP00026,Chanel,3,2022,7,2022-07,33,Sunday,9,93,8,244,0,345,2,2,False,0,1,5,2,18.94245,23.17501,30.20922,25.91315,27.05216,345
BP00027,Chanel,3,2022,7,2022-07,33,Saturday,16,83,8,230,0,321,1,0,False,0,0,2,0,18.88731,23.04182,29.9724,25.73075,26.84701,321
BP00028,Chanel,3,2022,7,2022-07,33,Saturday,12,110,13,297,5,425,1,0,False,0,0,2,0,33.96191,33.75509,35.80063,34.29281,34.5705,425
BP00029,Chanel,3,2022,7,2022-07,33,Friday,18,81,6,243,1,331,1,0,False,0,0,2,0,30.13289,30.76485,34.05333,31.69742,32.1522,331
