brand,brand_id,year,month,year_month,month_index,post_count,retweet_count_sum,retweet_count_mean,retweet_count_median,reply_count_sum,reply_count_mean,reply_count_median,like_count_sum,like_count_mean,like_count_median,quote_count_sum,quote_count_mean,quote_count_median,engagement_total_sum,engagement_total_mean,engagement_total_median,hashtag_count_sum,hashtag_count_mean,mention_count_sum,mention_count_mean,Entertainment_sum,Trendiness_sum,Interaction_sum,Customization_sum,entropy_ce_score_sum,entropy_ce_score_mean,entropy_ce_score_median,critic_ce_score_sum,critic_ce_score_mean,critic_ce_score_median,cilos_score_mean,idocriw_score_mean,merec_score_mean,additive_engagement_score_mean
Armani,1,2017,6,2017-06,0,59,96878,1642.0,57.0,1553,26.322033898305083,2.0,111953,1897.5084745762713,227.0,2369,40.152542372881356,2.0,212753,3605.9830508474574,308.0,124,2.1016949152542375,33,0.559322033898305,1,23,216,33,1465.4391,24.837950847457627,29.7409,1561.45117,26.46527406779661,30.30724,29.23259711864407,28.034977966101692,28.76314305084746,3605.9830508474574
Armani,1,2017,7,2017-07,0,77,3643,47.311688311688314,36.0,148,1.922077922077922,1.0,8720,113.24675324675324,125.0,81,1.051948051948052,0.0,12592,163.53246753246754,166.0,134,1.7402597402597402,59,0.7662337662337663,4,12,270,59,1364.69775,17.723347402597405,16.81456,1541.99956,20.02596831168831,20.83322,23.810707532467532,21.806486753246755,22.625917662337663,163.53246753246754
Armani,1,2017,8,2017-08,0,35,1351,38.6,37.0,88,2.5142857142857142,2.0,5169,147.68571428571428,148.0,65,1.8571428571428572,2.0,6673,190.65714285714284,188.0,54,1.542857142857143,21,0.6,4,11,110,21,927.77535,26.507867142857144,29.232,954.7860000000001,27.279600000000002,29.10324,31.337777142857146,28.233982857142855,28.75889,190.65714285714284
Armani,1,2017,9,2017-09,0,87,5161,59.32183908045977,39.0,216,2.4827586206896552,1.0,15312,176.0,129.0,240,2.7586206896551726,1.0,20929,240.5632183908046,171.0,157,1.8045977011494252,50,0.5747126436781609,1,25,294,50,1902.78304,21.871069425287356,27.30059,2049.43774,23.556755632183908,27.58827,27.50624827586207,25.006229770114945,25.702582643678163,240.5632183908046
Armani,1,2017,10,2017-10,0,68,2171,31.926470588235293,31.0,181,2.661764705882353,2.0,6986,102.73529411764706,103.5,78,1.1470588235294117,0.0,9416,138.47058823529412,141.0,96,1.411764705882353,36,0.5294117647058824,2,16,200,36,1488.01548,21.882580588235296,18.070275,1612.80946,23.717786176470586,21.949355,27.72877088235294,25.193591764705882,25.848614558823527,138.47058823529412
Armani,1,2017,11,2017-11,0,70,2122,30.314285714285713,25.0,107,1.5285714285714285,1.0,7508,107.25714285714285,111.0,84,1.2,1.0,9821,140.3,137.0,96,1.3714285714285714,67,0.9571428571428572,5,19,233,67,1324.95086,18.927869428571427,18.880805,1465.2078999999999,20.93154142857143,21.2691,25.223534571428573,22.512475142857145,23.27169514285714,140.3
Armani,1,2017,12,2017-12,0,36,1468,40.77777777777778,38.0,115,3.1944444444444446,2.0,5493,152.58333333333334,146.5,72,2.0,1.5,7148,198.55555555555554,188.5,38,1.0555555555555556,25,0.6944444444444444,4,13,99,25,850.07137,23.61309361111111,28.348595,906.42469,25.178463611111113,28.713135,30.060054722222226,26.519812777777776,27.190211944444442,198.55555555555554
Armani,1,2018,1,2018-01,0,72,3755,52.15277777777778,34.5,186,2.5833333333333335,2.0,15042,208.91666666666666,152.0,172,2.388888888888889,1.0,19155,266.0416666666667,193.0,105,1.4583333333333333,50,0.6944444444444444,6,32,227,50,1698.87474,23.5954825,28.04522,1827.2664,25.3787,28.43987,30.986526249999997,26.832069166666667,27.57087333333333,266.0416666666667
Armani,1,2018,2,2018-02,0,58,2225,38.36206896551724,35.5,163,2.810344827586207,2.0,10488,180.82758620689654,152.0,95,1.6379310344827587,1.0,12971,223.63793103448276,190.0,96,1.6551724137931034,35,0.603448275862069,6,23,189,35,1494.0731,25.75988103448276,28.36622,1562.44432,26.938695172413794,28.64774,31.605683448275865,28.079062413793103,28.665005862068966,223.63793103448276
Armani,1,2018,3,2018-03,0,64,2802,43.78125,34.0,164,2.5625,2.0,11453,178.953125,154.0,154,2.40625,1.0,14573,227.703125,186.5,103,1.609375,53,0.828125,4,17,220,53,1513.21268,23.643948125,27.997675,1614.66769,25.22918265625,28.40428,30.40568046875,26.59048203125,27.2936421875,227.703125
Armani,1,2018,4,2018-04,0,67,2262,33.76119402985075,27.0,74,1.1044776119402986,0.0,8197,122.34328358208955,127.0,94,1.4029850746268657,1.0,10627,158.61194029850745,156.0,106,1.5820895522388059,38,0.5671641791044776,3,11,211,38,1168.2990399999999,17.43729910447761,18.25068,1344.00261,20.059740447761193,21.42393,26.04033328358209,21.94784462686567,22.88715119402985,158.61194029850745
Armani,1,2018,5,2018-05,0,69,2803,40.6231884057971,27.0,128,1.855072463768116,1.0,12847,186.18840579710144,141.0,167,2.420289855072464,1.0,15945,231.08695652173913,174.0,114,1.6521739130434783,57,0.8260869565217391,5,15,240,57,1385.93937,20.086077826086957,18.97803,1543.36042,22.36754231884058,21.64873,28.569444492753625,24.07045231884058,24.9422968115942,231.08695652173913
Armani,1,2018,6,2018-06,0,65,2970,45.69230769230769,31.0,144,2.2153846153846155,1.0,15358,236.27692307692308,155.0,146,2.246153846153846,1.0,18618,286.4307692307692,188.0,113,1.7384615384615385,47,0.7230769230769231,2,19,225,47,1411.92727,21.721957999999997,20.87384,1548.41281,23.82173553846154,23.02445,30.023711692307693,25.43106507692308,26.260629384615385,286.4307692307692
Armani,1,2018,7,2018-07,0,47,1806,38.42553191489362,35.0,109,2.3191489361702127,2.0,9168,195.06382978723406,162.0,92,1.9574468085106382,1.0,11175,237.7659574468085,205.0,65,1.3829787234042554,21,0.44680851063829785,1,21,133,21,1168.7327,24.866653191489362,28.21801,1231.36068,26.19916340425532,28.12858,31.331188723404253,27.419119361702126,28.065624680851066,237.7659574468085
Armani,1,2018,8,2018-08,0,49,2524,51.51020408163265,28.0,169,3.4489795918367347,3.0,12025,245.40816326530611,158.0,203,4.142857142857143,1.0,14921,304.51020408163265,192.0,93,1.8979591836734695,27,0.5510204081632653,15,9,169,27,1090.4289899999999,22.253652857142853,28.23101,1170.5132800000001,23.88802612244898,28.36542,27.998720000000002,25.271085918367348,25.92294387755102,304.51020408163265
Armani,1,2018,9,2018-09,0,61,2402,39.377049180327866,32.0,200,3.278688524590164,3.0,12676,207.80327868852459,159.0,152,2.4918032786885247,1.0,15430,252.95081967213116,195.0,130,2.1311475409836067,29,0.47540983606557374,19,19,220,29,1514.75821,24.83210180327869,28.38987,1598.14429,26.199086721311474,28.6594,31.32827213114754,27.417742622950822,28.045818360655737,252.95081967213116
Armani,1,2018,10,2018-10,0,54,2580,47.77777777777778,26.0,143,2.6481481481481484,1.5,12498,231.44444444444446,138.0,88,1.6296296296296295,1.0,15309,283.5,172.5,59,1.0925925925925926,31,0.5740740740740741,5,11,144,31,1196.49828,22.157375555555557,24.18427,1298.51164,24.04651185185185,25.195504999999997,29.666327592592594,25.541887222222222,26.300238333333336,283.5
Armani,1,2018,11,2018-11,0,52,1769,34.01923076923077,29.0,111,2.1346153846153846,2.0,8363,160.82692307692307,146.0,79,1.5192307692307692,1.0,10322,198.5,177.5,89,1.7115384615384615,35,0.6730769230769231,7,10,176,35,1191.85892,22.920363846153844,27.41268,1279.45986,24.604997307692308,27.566110000000002,29.802276153846154,25.99159173076923,26.687128076923077,198.5
Armani,1,2018,12,2018-12,0,69,2898,42.0,22.0,141,2.0434782608695654,1.0,12058,174.7536231884058,110.0,224,3.246376811594203,2.0,15321,222.04347826086956,136.0,100,1.4492753623188406,29,0.42028985507246375,3,12,198,29,1712.30866,24.816067536231884,28.10412,1764.18096,25.56784,28.00129,29.668381449275362,26.49920115942029,27.03989608695652,222.04347826086956
Armani,1,2019,1,2019-01,0,93,3396,36.516129032258064,26.0,270,2.903225806451613,1.0,17936,192.86021505376345,147.0,366,3.935483870967742,2.0,21968,236.21505376344086,174.0,191,2.053763440860215,20,0.21505376344086022,4,30,304,20,2535.19753,27.260188494623655,28.49139,2577.18403,27.71165623655914,28.55321,32.16037580645161,28.47686569892473,28.963567204301075,236.21505376344086
Armani,1,2019,2,2019-02,0,123,13085,106.3821138211382,26.0,242,1.967479674796748,1.0,22546,183.3008130081301,118.0,313,2.5447154471544717,1.0,36186,294.1951219512195,148.0,294,2.3902439024390243,74,0.6016260162601627,11,39,491,74,2638.61041,21.452117154471544,27.35229,2799.86439,22.76312512195122,27.53992,26.377592682926828,24.016663170731707,24.66352089430894,294.1951219512195
Armani,1,2019,3,2019-03,0,95,23775,250.26315789473685,23.0,146,1.5368421052631578,1.0,14563,153.29473684210527,113.0,209,2.2,1.0,38693,407.29473684210524,144.0,141,1.4842105263157894,54,0.5684210526315789,1,15,290,54,1980.58702,20.848284421052632,27.21973,2111.97689,22.231335684210524,27.26454,25.87071747368421,23.528994736842105,24.20154052631579,407.29473684210524
Armani,1,2019,4,2019-04,0,78,4371,56.03846153846154,24.0,202,2.58974358974359,1.0,20849,267.29487179487177,118.5,298,3.8205128205128207,2.0,25720,329.7435897435897,145.5,113,1.4487179487179487,33,0.4230769230769231,1,13,224,33,2007.74635,25.74033782051282,28.22211,2058.32656,26.388802051282052,28.084955,30.350450384615385,27.273216923076923,27.787297564102563,329.7435897435897
Armani,1,2019,5,2019-05,0,103,3398,32.99029126213592,22.0,207,2.0097087378640777,0.0,18181,176.51456310679612,116.0,362,3.5145631067961167,2.0,22148,215.02912621359224,141.0,169,1.6407766990291262,49,0.47572815533980584,7,18,321,49,2358.23646,22.895499611650486,24.82943,2472.41499,24.004029029126215,27.19428,28.823883786407766,25.118837572815533,25.77074980582524,215.02912621359224
Armani,1,2019,6,2019-06,0,107,10419,97.37383177570094,23.0,607,5.672897196261682,1.0,37033,346.10280373831773,109.0,466,4.355140186915888,1.0,48525,453.50467289719626,136.0,190,1.7757009345794392,63,0.5887850467289719,4,37,360,63,2286.3124,21.367405607476634,27.41142,2413.10792,22.552410467289718,27.52749,25.71613327102804,23.743311121495328,24.352500654205606,453.50467289719626
Armani,1,2019,7,2019-07,0,85,3394,39.92941176470588,25.0,163,1.9176470588235295,1.0,12721,149.65882352941176,113.0,258,3.0352941176470587,2.0,16536,194.54117647058823,136.0,131,1.5411764705882354,60,0.7058823529411765,0,22,276,60,1673.3295,19.686229411764707,27.56606,1786.07336,21.012627764705883,27.80277,23.628850352941175,22.284430235294117,22.904154941176472,194.54117647058823
Armani,1,2019,8,2019-08,0,40,1234,30.85,25.0,93,2.325,2.0,7459,186.475,153.0,147,3.675,2.0,8933,223.325,184.5,61,1.525,16,0.4,7,8,117,16,1100.84502,27.5211255,29.231949999999998,1118.13313,27.95332825,29.150355,32.50911825,28.706158749999997,29.191627999999998,223.325
Armani,1,2019,9,2019-09,0,114,3398,29.80701754385965,24.5,131,1.1491228070175439,0.0,13709,120.25438596491227,110.0,210,1.8421052631578947,2.0,17448,153.05263157894737,134.5,211,1.8508771929824561,71,0.6228070175438597,12,33,396,71,2253.82694,19.770411754385965,20.860165000000002,2410.09743,21.141205526315787,22.76247,24.60382412280702,22.41566807017544,23.074080350877196,153.05263157894737
Armani,1,2019,10,2019-10,0,64,1833,28.640625,23.0,88,1.375,1.0,7407,115.734375,115.0,124,1.9375,2.0,9452,147.6875,141.5,118,1.84375,22,0.34375,3,10,204,22,1525.71739,23.83933421875,28.351689999999998,1576.35311,24.63051734375,28.273674999999997,28.1628696875,25.58824984375,26.11566171875,147.6875
Armani,1,2019,11,2019-11,1,83,37170,447.8313253012048,20.0,175,2.108433734939759,1.0,12847,154.78313253012047,106.0,322,3.8795180722891565,1.0,50514,608.6024096385543,135.0,154,1.855421686746988,39,0.46987951807228917,2,22,276,39,1939.88272,23.37208096385542,28.13085,2011.53652,24.235379759036146,28.11366,27.41258253012048,25.24314891566265,25.77388361445783,608.6024096385543
Armani,1,2019,12,2019-12,2,82,2766,33.73170731707317,19.0,128,1.5609756097560976,1.0,11345,138.35365853658536,96.0,179,2.182926829268293,1.0,14418,175.82926829268294,120.5,111,1.353658536585366,35,0.4268292682926829,2,10,228,35,1746.70145,21.301237195121953,27.31572,1840.40161,22.44392207317073,27.49792,25.73176829268293,23.596598292682927,24.19369048780488,175.82926829268294
Armani,1,2020,1,2020-01,3,97,3035,31.288659793814432,26.0,146,1.5051546391752577,1.0,12475,128.60824742268042,118.0,191,1.9690721649484537,1.0,15847,163.37113402061857,149.0,230,2.3711340206185567,49,0.5051546391752577,2,37,376,49,2074.55145,21.387128350515464,27.37807,2198.3552,22.663455670103094,27.66528,26.526584742268042,23.88905103092784,24.540327835051546,163.37113402061857
