public_post_id,brand,retweet_count,reply_count,like_count,quote_count
BP00001,Chanel,20,4,87,0
BP00002,Chanel,193,43,522,5
BP00003,Chanel,187,72,440,7
BP00004,Chanel,161,36,426,7
BP00005,Chanel,183,27,504,7
BP00006,Chanel,224,43,584,26
BP00007,Chanel,151,17,426,2
BP00008,Chanel,149,15,378,6
BP00009,Chanel,155,15,469,1
BP00010,Chanel,128,16,330,5
BP00011,Chanel,59,13,147,2
BP00012,Chanel,121,10,299,4
BP00013,Chanel,88,7,259,1
BP00014,Chanel,124,17,290,6
BP00015,Chanel,101,7,300,4
BP00016,Chanel,115,12,354,3
BP00017,Chanel,96,7,246,2
BP00018,Chanel,102,14,393,1
BP00019,Chanel,179,49,481,11
BP00020,Chanel,152,16,415,2
BP00021,Chanel,133,9,371,1
BP00022,Chanel,142,14,394,2
BP00023,Chanel,134,11,376,3
BP00024,Chanel,113,9,321,4
BP00025,Chanel,70,8,212,1
BP00026,Chanel,93,8,244,0
BP00027,Chanel,83,8,230,0
BP00028,Chanel,110,13,297,5
BP00029,Chanel,81,6,243,1
BP00030,Chanel,127,15,351,2
BP00031,Chanel,88,5,327,2
BP00032,Chanel,61,4,211,0
BP00033,Chanel,130,8,432,7
BP00034,Chanel,93,6,287,5
BP00035,Chanel,87,7,250,2
BP00036,Chanel,103,11,429,9
BP00037,Chanel,96,8,389,9
BP00038,Chanel,109,25,580,16
BP00039,Chanel,112,10,453,4
BP00040,Chanel,112,18,460,6
BP00041,Chanel,155,12,657,16
BP00042,Chanel,116,9,358,10
BP00043,Chanel,124,17,424,6
BP00044,Chanel,155,17,665,12
BP00045,Chanel,103,7,338,5
BP00046,Chanel,93,7,309,4
BP00047,Chanel,95,11,282,3
BP00048,Chanel,121,10,475,6
BP00049,Chanel,126,14,394,3
BP00050,Chanel,108,12,409,3
BP00051,Chanel,131,10,373,6
BP00052,Chanel,71,6,241,3
BP00053,Chanel,74,8,304,7
BP00054,Chanel,98,9,370,4
BP00055,Chanel,119,12,492,7
BP00056,Chanel,80,7,238,4
BP00057,Chanel,118,14,321,8
BP00058,Chanel,149,13,509,10
BP00059,Chanel,104,14,374,3
BP00060,Chanel,136,17,344,10
BP00061,Chanel,74,8,234,0
BP00062,Chanel,94,13,299,5
BP00063,Chanel,105,16,404,5
BP00064,Chanel,103,9,318,3
BP00065,Chanel,127,20,427,11
BP00066,Chanel,112,19,379,8
BP00067,Chanel,146,56,562,22
BP00068,Chanel,127,14,339,2
BP00069,Chanel,75,10,241,0
BP00070,Chanel,124,17,439,1
BP00071,Chanel,84,7,237,0
BP00072,Chanel,78,6,308,3
BP00073,Chanel,80,19,461,6
BP00074,Chanel,96,15,617,2
BP00075,Chanel,112,27,436,1
BP00076,Chanel,94,11,463,0
BP00077,Chanel,144,34,623,3
BP00078,Chanel,81,21,333,3
BP00079,Chanel,79,16,303,1
BP00080,Chanel,78,16,352,4
BP00081,Chanel,90,10,385,4
BP00082,Chanel,102,14,385,8
BP00083,Chanel,52,17,265,1
BP00084,Chanel,159,13,567,13
BP00085,Chanel,223,21,929,9
BP00086,Chanel,32,9,140,0
BP00087,Chanel,61,10,287,0
BP00088,Chanel,52,13,269,0
BP00089,Chanel,58,13,271,3
BP00090,Chanel,74,7,417,4
BP00091,Chanel,64,12,326,0
BP00092,Chanel,69,11,337,2
BP00093,Chanel,708,87,1195,48
BP00094,Chanel,56,14,325,0
BP00095,Chanel,186,14,433,10
BP00096,Chanel,50,8,277,2
BP00097,Chanel,101,14,317,3
BP00098,Chanel,66,12,282,2
BP00099,Chanel,73,10,348,1
BP00100,Chanel,56,14,316,1
BP00101,Chanel,64,11,356,0
BP00102,Chanel,1495,86,3317,130
BP00103,Chanel,29,8,160,0
BP00104,Chanel,34,9,185,3
BP00105,Chanel,36,8,199,4
BP00106,Chanel,30,9,161,0
BP00107,Chanel,28,11,160,3
BP00108,Chanel,34,10,166,4
BP00109,Chanel,40,12,215,2
BP00110,Chanel,119,19,536,3
BP00111,Chanel,5129,460,11697,157
BP00112,Chanel,50,8,230,5
BP00113,Chanel,48,10,241,3
BP00114,Chanel,63,12,274,1
BP00115,Chanel,42,9,214,3
BP00116,Chanel,49,9,259,5
BP00117,Chanel,42,7,216,3
BP00118,Chanel,59,10,335,4
BP00119,Chanel,72,12,302,3
BP00120,Chanel,46,7,270,2
BP00121,Chanel,62,12,314,6
BP00122,Chanel,46,11,321,1
BP00123,Chanel,57,15,288,0
BP00124,Chanel,77,13,447,5
BP00125,Chanel,90,17,409,5
BP00126,Chanel,79,13,363,4
BP00127,Chanel,92,16,437,7
BP00128,Chanel,53,12,248,3
BP00129,Chanel,104,15,481,7
BP00130,Chanel,242,29,994,20
BP00131,Chanel,62,15,264,1
BP00132,Chanel,45,9,246,6
BP00133,Chanel,41,8,246,5
BP00134,Chanel,61,22,337,7
BP00135,Chanel,90,19,426,8
BP00136,Chanel,63,15,267,4
BP00137,Chanel,56,16,283,4
BP00138,Chanel,70,9,311,3
BP00139,Chanel,62,20,280,4
BP00140,Chanel,308,16,1185,12
BP00141,Chanel,100,12,668,9
BP00142,Chanel,74,13,547,7
BP00143,Chanel,408,19,1234,28
BP00144,Chanel,403,17,1523,21
BP00145,Chanel,186,19,648,6
BP00146,Chanel,56,14,311,1
BP00147,Chanel,47,8,210,2
BP00148,Chanel,92,11,363,6
BP00149,Chanel,85,13,428,3
BP00150,Chanel,90,6,349,5
BP00151,Chanel,95,13,627,16
BP00152,Chanel,106,15,630,7
BP00153,Chanel,69,17,242,2
BP00154,Chanel,38,9,145,0
BP00155,Chanel,242,29,865,18
BP00156,Chanel,92,18,429,4
BP00157,Chanel,166,40,690,6
BP00158,Chanel,309,16,826,27
BP00159,Chanel,127,14,490,10
BP00160,Chanel,169,22,654,14
BP00161,Chanel,80,11,314,2
BP00162,Chanel,116,13,522,7
BP00163,Chanel,439,36,1426,34
BP00164,Chanel,126,16,576,8
BP00165,Chanel,90,11,410,1
BP00166,Chanel,4870,423,9778,592
BP00167,Chanel,90,13,437,6
BP00168,Chanel,158,13,769,15
BP00169,Chanel,122,14,461,6
BP00170,Chanel,47,10,320,2
BP00171,Chanel,607,68,1598,55
BP00172,Chanel,83,13,444,10
BP00173,Chanel,184,15,1139,16
BP00174,Chanel,93,14,445,3
BP00175,Chanel,169,29,658,7
BP00176,Chanel,449,51,1641,46
BP00177,Chanel,421,79,1097,42
BP00178,Chanel,116,17,472,6
BP00179,Chanel,73,6,322,5
BP00180,Chanel,136,15,552,13
BP00181,Chanel,42,8,292,2
BP00182,Chanel,82,7,510,10
BP00183,Chanel,211,21,673,43
