public_post_id,brand,entropy_ce_score
BP00001,Chanel,17.22573
BP00002,Chanel,36.27874
BP00003,Chanel,37.67951
BP00004,Chanel,36.43341
BP00005,Chanel,36.09378
BP00006,Chanel,39.62801
BP00007,Chanel,33.09265
BP00008,Chanel,34.69883
BP00009,Chanel,31.9168
BP00010,Chanel,34.358
BP00011,Chanel,31.92942
BP00012,Chanel,33.22117
BP00013,Chanel,30.3893
BP00014,Chanel,34.69801
BP00015,Chanel,32.69416
BP00016,Chanel,33.07478
BP00017,Chanel,31.43063
BP00018,Chanel,31.6227
BP00019,Chanel,37.90591
BP00020,Chanel,32.98857
BP00021,Chanel,31.01812
BP00022,Chanel,32.7467
BP00023,Chanel,33.0176
BP00024,Chanel,33.09828
BP00025,Chanel,30.41686
BP00026,Chanel,18.94245
BP00027,Chanel,18.88731
BP00028,Chanel,33.96191
BP00029,Chanel,30.13289
BP00030,Chanel,32.7587
BP00031,Chanel,31.12419
BP00032,Chanel,17.87235
BP00033,Chanel,34.13365
BP00034,Chanel,32.83791
BP00035,Chanel,31.41854
BP00036,Chanel,34.99542
BP00037,Chanel,34.48115
BP00038,Chanel,37.55114
BP00039,Chanel,33.43734
BP00040,Chanel,35.02043
BP00041,Chanel,36.59856
BP00042,Chanel,34.8396
BP00043,Chanel,34.90969
BP00044,Chanel,36.53756
BP00045,Chanel,33.15444
BP00046,Chanel,32.69286
BP00047,Chanel,32.78452
BP00048,Chanel,34.1991
BP00049,Chanel,33.37842
BP00050,Chanel,33.14255
BP00051,Chanel,34.07866
BP00052,Chanel,31.81008
BP00053,Chanel,33.81749
BP00054,Chanel,33.1468
BP00055,Chanel,34.7574
BP00056,Chanel,32.52055
BP00057,Chanel,34.98664
BP00058,Chanel,35.61727
BP00059,Chanel,33.30757
BP00060,Chanel,35.76969
BP00061,Chanel,18.87276
BP00062,Chanel,33.93208
BP00063,Chanel,34.42841
BP00064,Chanel,32.58566
BP00065,Chanel,36.30833
BP00066,Chanel,35.52381
BP00067,Chanel,39.59942
BP00068,Chanel,32.63786
BP00069,Chanel,19.20022
BP00070,Chanel,32.01572
BP00071,Chanel,18.7248
BP00072,Chanel,31.96179
BP00073,Chanel,35.03263
BP00074,Chanel,33.02416
BP00075,Chanel,32.70446
BP00076,Chanel,19.74358
BP00077,Chanel,35.04905
BP00078,Chanel,33.79947
BP00079,Chanel,31.6217
BP00080,Chanel,33.89807
BP00081,Chanel,33.29819
BP00082,Chanel,35.05664
BP00083,Chanel,31.55552
BP00084,Chanel,36.21132
BP00085,Chanel,36.58924
BP00086,Chanel,18.60828
BP00087,Chanel,19.25229
BP00088,Chanel,19.56023
BP00089,Chanel,32.90184
BP00090,Chanel,32.81292
BP00091,Chanel,19.59071
BP00092,Chanel,32.15791
BP00093,Chanel,42.99481
BP00094,Chanel,19.78602
BP00095,Chanel,35.68213
BP00096,Chanel,31.54272
BP00097,Chanel,33.2094
BP00098,Chanel,32.17556
BP00099,Chanel,31.00202
BP00100,Chanel,31.37798
BP00101,Chanel,19.51524
BP00102,Chanel,46.3912
BP00103,Chanel,18.49508
BP00104,Chanel,32.07648
BP00105,Chanel,32.45034
BP00106,Chanel,18.66647
BP00107,Chanel,32.2485
BP00108,Chanel,32.65568
BP00109,Chanel,31.93295
BP00110,Chanel,33.99934
BP00111,Chanel,51.73368
BP00112,Chanel,32.97937
BP00113,Chanel,32.42726
BP00114,Chanel,31.10006
BP00115,Chanel,32.19186
BP00116,Chanel,33.20074
BP00117,Chanel,31.8538
BP00118,Chanel,33.13413
BP00119,Chanel,32.88862
BP00120,Chanel,31.33185
BP00121,Chanel,34.08496
BP00122,Chanel,31.00021
BP00123,Chanel,19.82482
BP00124,Chanel,34.11577
BP00125,Chanel,34.49337
BP00126,Chanel,33.61259
BP00127,Chanel,35.05484
BP00128,Chanel,32.72086
BP00129,Chanel,35.04038
BP00130,Chanel,38.76232
BP00131,Chanel,31.40195
BP00132,Chanel,33.48393
BP00133,Chanel,32.97686
BP00134,Chanel,35.30801
BP00135,Chanel,35.54355
BP00136,Chanel,33.60744
BP00137,Chanel,33.71118
BP00138,Chanel,32.49296
BP00139,Chanel,34.06269
BP00140,Chanel,36.96958
BP00141,Chanel,35.37365
BP00142,Chanel,34.83477
BP00143,Chanel,39.09391
BP00144,Chanel,38.43991
BP00145,Chanel,35.41718
BP00146,Chanel,31.36921
BP00147,Chanel,31.38345
BP00148,Chanel,34.12206
BP00149,Chanel,33.23335
BP00150,Chanel,32.93861
BP00151,Chanel,36.57941
BP00152,Chanel,35.20355
BP00153,Chanel,32.61392
BP00154,Chanel,18.65779
BP00155,Chanel,38.454
BP00156,Chanel,34.22084
BP00157,Chanel,36.61643
BP00158,Chanel,38.43078
BP00159,Chanel,35.66782
BP00160,Chanel,37.24837
BP00161,Chanel,32.1492
BP00162,Chanel,34.90198
BP00163,Chanel,40.65266
BP00164,Chanel,35.53245
BP00165,Chanel,31.27225
BP00166,Chanel,55.31465
BP00167,Chanel,34.46241
BP00168,Chanel,36.68237
BP00169,Chanel,34.66625
BP00170,Chanel,31.91855
BP00171,Chanel,43.02222
BP00172,Chanel,35.41209
BP00173,Chanel,37.30593
BP00174,Chanel,33.38255
BP00175,Chanel,36.34784
BP00176,Chanel,42.03389
BP00177,Chanel,42.31466
BP00178,Chanel,34.95679
BP00179,Chanel,32.85064
BP00180,Chanel,36.37017
BP00181,Chanel,31.53772
BP00182,Chanel,34.62528
BP00183,Chanel,39.6758
BP00184,Chanel,45.96101
BP00185,Chanel,34.35361
BP00186,Chanel,32.5614
BP00187,Chanel,32.50404
BP00188,Chanel,32.22171
BP00189,Chanel,19.27036
BP00190,Chanel,32.99937
BP00191,Chanel,31.09707
BP00192,Chanel,31.69325
BP00193,Chanel,35.3686
BP00194,Chanel,18.31032
BP00195,Chanel,36.60798
BP00196,Chanel,37.57339
BP00197,Chanel,35.33298
BP00198,Chanel,37.50173
BP00199,Chanel,37.88548
BP00200,Chanel,37.16591
BP00201,Chanel,35.94863
BP00202,Chanel,33.37809
BP00203,Chanel,33.24004
BP00204,Chanel,18.66153
BP00205,Chanel,36.51525
BP00206,Chanel,20.01959
BP00207,Chanel,29.60872
BP00208,Chanel,29.76804
BP00209,Chanel,32.70523
BP00210,Chanel,17.96599
BP00211,Chanel,32.11258
BP00212,Chanel,31.71009
BP00213,Chanel,31.03325
BP00214,Chanel,31.85673
BP00215,Chanel,35.59307
BP00216,Chanel,35.34044
BP00217,Chanel,33.52071
BP00218,Chanel,34.75892
BP00219,Chanel,35.2816
BP00220,Chanel,33.80525
BP00221,Chanel,35.41424
BP00222,Chanel,44.25649
BP00223,Chanel,36.88761
BP00224,Chanel,37.46065
BP00225,Chanel,29.94194
BP00226,Chanel,33.39596
BP00227,Chanel,33.59294
BP00228,Chanel,20.50016
BP00229,Chanel,35.91312
BP00230,Chanel,45.662
BP00231,Chanel,35.80084
BP00232,Chanel,34.415
BP00233,Chanel,37.11048
BP00234,Chanel,38.7691
BP00235,Chanel,44.80883
BP00236,Chanel,36.44456
BP00237,Chanel,33.65062
BP00238,Chanel,59.29027
BP00239,Chanel,31.65767
BP00240,Chanel,35.4363
BP00241,Chanel,31.30582
BP00242,Chanel,30.64872
BP00243,Chanel,42.9989
BP00244,Chanel,30.03393
BP00245,Chanel,35.98564
BP00246,Chanel,38.51139
BP00247,Chanel,34.36252
BP00248,Chanel,41.15714
