public_post_id,brand,entropy_ce_score,critic_ce_score,cilos_score,idocriw_score,merec_score,additive_engagement_score
BP00001,Chanel,17.22573,20.62327,26.54381,22.82685,23.73236,111
BP00002,Chanel,36.27874,36.1366,38.00688,36.74647,37.02149,763
BP00003,Chanel,37.67951,37.04353,37.76949,37.40491,37.5431,706
BP00004,Chanel,36.43341,35.99301,37.45495,36.44047,36.65052,630
BP00005,Chanel,36.09378,35.90255,38.00155,36.4859,36.77483,721
BP00006,Chanel,39.62801,38.59963,39.57176,38.78238,38.90008,877
BP00007,Chanel,33.09265,33.57409,36.56305,34.47812,34.90491,596
BP00008,Chanel,34.69883,34.58934,36.82944,35.20153,35.51561,548
BP00009,Chanel,31.9168,32.82375,36.48647,33.94074,34.46166,640
BP00010,Chanel,34.358,34.19532,36.23063,34.76745,35.05441,479
BP00011,Chanel,31.92942,31.64174,32.98027,32.09221,32.29685,221
BP00012,Chanel,33.22117,33.27822,35.71712,33.9589,34.30578,434
BP00013,Chanel,30.3893,31.03608,34.30197,31.9822,32.4389,355
BP00014,Chanel,34.69801,34.34542,35.96663,34.82246,35.06255,437
BP00015,Chanel,32.69416,32.77928,35.55603,33.45648,33.81801,412
BP00016,Chanel,33.07478,33.26027,36.01467,33.99405,34.36102,484
BP00017,Chanel,31.43063,31.77339,34.58066,32.57851,32.97874,351
BP00018,Chanel,31.6227,32.26765,35.66602,33.21379,33.65974,510
BP00019,Chanel,37.90591,37.17691,38.23268,37.4873,37.63394,720
BP00020,Chanel,32.98857,33.48506,36.4832,34.39837,34.83051,585
BP00021,Chanel,31.01812,31.92868,35.62704,33.03968,33.56981,514
BP00022,Chanel,32.7467,33.23458,36.26557,34.13821,34.57016,552
BP00023,Chanel,33.0176,33.33558,36.28323,34.15085,34.55788,524
BP00024,Chanel,33.09828,33.18307,35.85494,33.86897,34.22625,447
BP00025,Chanel,30.41686,30.83447,33.62447,31.64723,32.03451,291
BP00026,Chanel,18.94245,23.17501,30.20922,25.91315,27.05216,345
BP00027,Chanel,18.88731,23.04182,29.9724,25.73075,26.84701,321
BP00028,Chanel,33.96191,33.75509,35.80063,34.29281,34.5705,425
BP00029,Chanel,30.13289,30.76485,34.05333,31.69742,32.1522,331
BP00030,Chanel,32.7587,33.11865,35.86412,33.94896,34.34209,495
BP00031,Chanel,31.12419,31.63855,35.27041,32.51461,32.97187,422
BP00032,Chanel,17.87235,22.0667,29.45499,24.75001,25.88931,276
