brand,hour,customer_post_count,sentiment_score_mean,positive_count,neutral_count,negative_count
Armani,0,36,0.09259722222222222,8,27,1
Armani,1,29,0.16503793103448278,9,19,1
Armani,2,34,0.10721470588235293,7,27,0
Armani,3,38,0.07814736842105263,8,29,1
Armani,4,24,0.019116666666666667,1,23,0
Armani,5,65,0.18232153846153845,25,39,1
Armani,6,38,0.010547368421052635,3,32,3
Armani,7,37,0.15692972972972974,11,26,0
Armani,8,26,0.16330769230769232,8,17,1
Armani,9,36,0.05411111111111111,5,30,1
Armani,10,44,0.12485909090909092,11,31,2
Armani,11,55,0.09421090909090908,13,40,2
Armani,12,45,0.087,12,33,0
Armani,13,74,0.08278918918918919,15,54,5
Armani,14,56,0.17323392857142858,16,38,2
Armani,15,46,0.08201304347826087,9,33,4
Armani,16,65,0.14627384615384614,21,43,1
Armani,17,119,0.21949747899159663,71,46,2
Armani,18,132,0.19869015151515151,67,62,3
Armani,19,110,0.18779,52,55,3
Armani,20,75,0.11581733333333334,22,50,3
Armani,21,57,0.1301982456140351,18,37,2
Armani,22,38,0.13782368421052632,12,24,2
Armani,23,46,0.09963260869565217,12,33,1
Burberry,0,302,0.22286456953642383,124,173,5
Burberry,1,331,0.1934546827794562,130,184,17
Burberry,2,205,0.24214341463414635,96,103,6
Burberry,3,221,0.19906018099547512,88,130,3
Burberry,4,353,0.19818668555240795,127,220,6
Burberry,5,433,0.08524965357967668,69,363,1
Burberry,6,512,0.0760654296875,67,444,1
Burberry,7,252,0.14390753968253966,67,185,0
Burberry,8,209,0.15130191387559808,59,149,1
Burberry,9,374,0.0737090909090909,52,318,4
Burberry,10,281,0.11468825622775802,58,222,1
Burberry,11,166,0.1759433734939759,48,116,2
Burberry,12,206,0.15733932038834952,58,148,0
Burberry,13,159,0.13867987421383648,41,116,2
Burberry,14,156,0.1289801282051282,36,117,3
Burberry,15,715,0.03564601398601398,51,662,2
Burberry,16,365,0.0694186301369863,45,319,1
Burberry,17,153,0.11624901960784315,33,119,1
Burberry,18,104,0.16316346153846156,27,75,2
Burberry,19,94,0.1526404255319149,23,71,0
Burberry,20,94,0.11514574468085106,24,63,7
Burberry,21,101,0.09919009900990099,19,80,2
Burberry,22,125,0.1387456,26,99,0
Burberry,23,175,0.133596,38,135,2
Chanel,0,36,0.09259722222222222,8,27,1
Chanel,1,29,0.16503793103448278,9,19,1
Chanel,2,31,0.11759032258064515,7,24,0
Chanel,3,34,0.07267352941176472,6,27,1
Chanel,4,24,0.019116666666666667,1,23,0
Chanel,5,65,0.18232153846153845,25,39,1
Chanel,6,38,0.010547368421052635,3,32,3
Chanel,7,39,0.1488820512820513,11,28,0
Chanel,8,26,0.16330769230769232,8,17,1
Chanel,9,36,0.05411111111111111,5,30,1
Chanel,10,44,0.12485909090909092,11,31,2
Chanel,11,56,0.09390714285714286,14,40,2
Chanel,12,46,0.09384565217391305,13,33,0
Chanel,13,74,0.08278918918918919,15,54,5
Chanel,14,56,0.17323392857142858,16,38,2
Chanel,15,46,0.08201304347826087,9,33,4
Chanel,16,65,0.14627384615384614,21,43,1
Chanel,17,119,0.21949747899159663,71,46,2
Chanel,18,132,0.19869015151515151,67,62,3
Chanel,19,110,0.18779,52,55,3
Chanel,20,75,0.11581733333333334,22,50,3
Chanel,21,57,0.1301982456140351,18,37,2
Chanel,22,38,0.13782368421052632,12,24,2
Chanel,23,46,0.09963260869565217,12,33,1
Dior,0,420,0.17348261904761905,158,250,12
Dior,1,484,0.16701404958677687,174,298,12
Dior,2,222,0.16522072072072072,71,143,8
Dior,3,275,0.07393781818181819,41,234,0
Dior,10,242,0.13741322314049587,66,175,1
Dior,11,298,0.11339496644295302,77,217,4
Dior,12,269,0.11873159851301116,75,194,0
Dior,13,254,0.12818582677165352,68,184,2
Dior,14,320,0.1497096875,91,227,2
Dior,15,323,0.2974003095975232,173,149,1
Dior,16,366,0.268142349726776,180,185,1
Dior,17,476,0.15593928571428572,125,348,3
Dior,18,595,0.12021798319327733,129,463,3
Dior,19,222,0.2102783783783784,93,127,2
Dior,20,218,0.1685848623853211,70,146,2
Dior,21,284,0.1981031690140845,120,160,4
Dior,22,232,0.1673219827586207,73,153,6
Dior,23,517,0.18611508704061897,205,302,10
Gucci,0,116,0.2818603448275862,46,70,0
Gucci,1,194,0.14271958762886597,44,150,0
Gucci,2,218,0.1770715596330275,60,156,2
Gucci,3,136,0.21413382352941177,46,84,6
Gucci,4,144,0.21079305555555555,46,84,14
Gucci,5,78,0.13840769230769231,28,32,18
Gucci,6,88,0.2363977272727273,36,40,12
Gucci,7,78,0.2352051282051282,30,48,0
Gucci,8,90,0.2729711111111111,34,54,2
Gucci,9,76,0.21122631578947368,28,40,8
Gucci,10,126,0.18516666666666667,46,72,8
Gucci,11,1360,0.01302529411764706,32,1322,6
Gucci,12,600,0.07901933333333333,96,496,8
Gucci,13,436,0.18923944954128438,152,278,6
Gucci,14,266,0.22357293233082706,106,154,6
Gucci,15,236,0.10891355932203389,44,176,16
Gucci,16,240,0.2081241666666667,78,152,10
Gucci,17,132,0.36040757575757576,68,58,6
Gucci,18,96,0.19473125,32,58,6
Gucci,19,68,0.12081764705882353,22,36,10
Gucci,20,138,0.28210434782608695,60,70,8
Gucci,21,88,0.3856840909090909,50,32,6
Gucci,22,126,0.3017063492063492,56,62,8
Gucci,23,74,0.25275675675675674,26,42,6
LV,0,151,0.1392907284768212,73,52,26
LV,1,316,0.15794145569620255,126,154,36
LV,2,319,0.08652068965517241,79,205,35
LV,3,100,0.113278,32,34,34
LV,4,133,0.0976766917293233,44,57,32
LV,5,130,0.14188923076923077,46,41,43
LV,6,142,0.12425352112676058,43,40,59
LV,7,141,0.04778085106382979,26,70,45
LV,8,125,0.0607624,18,82,25
LV,9,944,0.10127150423728815,204,636,104
LV,10,415,0.18691349397590362,164,192,59
LV,11,219,0.0780068493150685,52,124,43
LV,12,167,0.13954251497005987,54,79,34
LV,13,531,0.24722580037664785,378,122,31
LV,14,772,0.21655064766839377,660,80,32
LV,15,359,0.1800506963788301,263,73,23
LV,16,209,0.19383492822966505,142,48,19
LV,17,186,0.15596451612903225,89,63,34
LV,18,119,0.20446974789915967,67,35,17
