brand,brand_id,month_index,year,month,year_month,post_count,score,Entertainment,Trendiness,Interaction,Customization,entropy_ce_score_mean,critic_ce_score_mean,engagement_total_sum,brand_Armani,brand_Burberry,brand_Chanel,brand_Dior,brand_Gucci,brand_LV
Armani,1,0,2017,6,2017-06,59,1465.4391,1,23,216,33,24.837950847457627,26.46527406779661,212753,1,0,0,0,0,0
Armani,1,0,2017,7,2017-07,77,1364.69775,4,12,270,59,17.723347402597405,20.02596831168831,12592,1,0,0,0,0,0
Armani,1,0,2017,8,2017-08,35,927.77535,4,11,110,21,26.507867142857144,27.279600000000002,6673,1,0,0,0,0,0
Armani,1,0,2017,9,2017-09,87,1902.78304,1,25,294,50,21.871069425287356,23.556755632183908,20929,1,0,0,0,0,0
Armani,1,0,2017,10,2017-10,68,1488.01548,2,16,200,36,21.882580588235296,23.717786176470586,9416,1,0,0,0,0,0
Armani,1,0,2017,11,2017-11,70,1324.95086,5,19,233,67,18.927869428571427,20.93154142857143,9821,1,0,0,0,0,0
Armani,1,0,2017,12,2017-12,36,850.07137,4,13,99,25,23.61309361111111,25.178463611111113,7148,1,0,0,0,0,0
Armani,1,0,2018,1,2018-01,72,1698.87474,6,32,227,50,23.5954825,25.3787,19155,1,0,0,0,0,0
Armani,1,0,2018,2,2018-02,58,1494.0731,6,23,189,35,25.75988103448276,26.938695172413794,12971,1,0,0,0,0,0
Armani,1,0,2018,3,2018-03,64,1513.21268,4,17,220,53,23.643948125,25.22918265625,14573,1,0,0,0,0,0
Armani,1,0,2018,4,2018-04,67,1168.2990399999999,3,11,211,38,17.43729910447761,20.059740447761193,10627,1,0,0,0,0,0
Armani,1,0,2018,5,2018-05,69,1385.93937,5,15,240,57,20.086077826086957,22.36754231884058,15945,1,0,0,0,0,0
Armani,1,0,2018,6,2018-06,65,1411.92727,2,19,225,47,21.721957999999997,23.82173553846154,18618,1,0,0,0,0,0
Armani,1,0,2018,7,2018-07,47,1168.7327,1,21,133,21,24.866653191489362,26.19916340425532,11175,1,0,0,0,0,0
Armani,1,0,2018,8,2018-08,49,1090.4289899999999,15,9,169,27,22.253652857142853,23.88802612244898,14921,1,0,0,0,0,0
Armani,1,0,2018,9,2018-09,61,1514.75821,19,19,220,29,24.83210180327869,26.199086721311474,15430,1,0,0,0,0,0
Armani,1,0,2018,10,2018-10,54,1196.49828,5,11,144,31,22.157375555555557,24.04651185185185,15309,1,0,0,0,0,0
Armani,1,0,2018,11,2018-11,52,1191.85892,7,10,176,35,22.920363846153844,24.604997307692308,10322,1,0,0,0,0,0
Armani,1,0,2018,12,2018-12,69,1712.30866,3,12,198,29,24.816067536231884,25.56784,15321,1,0,0,0,0,0
Armani,1,0,2019,1,2019-01,93,2535.19753,4,30,304,20,27.260188494623655,27.71165623655914,21968,1,0,0,0,0,0
Armani,1,0,2019,2,2019-02,123,2638.61041,11,39,491,74,21.452117154471544,22.76312512195122,36186,1,0,0,0,0,0
Armani,1,0,2019,3,2019-03,95,1980.58702,1,15,290,54,20.848284421052632,22.231335684210524,38693,1,0,0,0,0,0
Armani,1,0,2019,4,2019-04,78,2007.74635,1,13,224,33,25.74033782051282,26.388802051282052,25720,1,0,0,0,0,0
Armani,1,0,2019,5,2019-05,103,2358.23646,7,18,321,49,22.895499611650486,24.004029029126215,22148,1,0,0,0,0,0
Armani,1,0,2019,6,2019-06,107,2286.3124,4,37,360,63,21.367405607476634,22.552410467289718,48525,1,0,0,0,0,0
Armani,1,0,2019,7,2019-07,85,1673.3295,0,22,276,60,19.686229411764707,21.012627764705883,16536,1,0,0,0,0,0
Armani,1,0,2019,8,2019-08,40,1100.84502,7,8,117,16,27.5211255,27.95332825,8933,1,0,0,0,0,0
Armani,1,0,2019,9,2019-09,114,2253.82694,12,33,396,71,19.770411754385965,21.141205526315787,17448,1,0,0,0,0,0
Armani,1,0,2019,10,2019-10,64,1525.71739,3,10,204,22,23.83933421875,24.63051734375,9452,1,0,0,0,0,0
Armani,1,1,2019,11,2019-11,83,1939.88272,2,22,276,39,23.37208096385542,24.235379759036146,50514,1,0,0,0,0,0
Armani,1,2,2019,12,2019-12,82,1746.70145,2,10,228,35,21.301237195121953,22.44392207317073,14418,1,0,0,0,0,0
Armani,1,3,2020,1,2020-01,97,2074.55145,2,37,376,49,21.387128350515464,22.663455670103094,15847,1,0,0,0,0,0
Armani,1,4,2020,2,2020-02,52,1275.3602,1,23,215,28,24.526157692307695,25.391462307692304,14697,1,0,0,0,0,0
Armani,1,5,2020,3,2020-03,17,520.09042,0,0,34,3,30.59355411764706,30.44616117647059,6142,1,0,0,0,0,0
Armani,1,6,2020,4,2020-04,21,613.25784,1,4,61,9,29.202754285714285,28.97433523809524,3042,1,0,0,0,0,0
Armani,1,7,2020,5,2020-05,50,1059.63326,19,5,199,28,21.1926652,22.2176812,18299,1,0,0,0,0,0
Armani,1,8,2020,6,2020-06,6,177.57199,0,1,17,3,29.595331666666667,29.633856666666663,1709,1,0,0,0,0,0
Armani,1,9,2020,7,2020-07,12,312.44243,1,6,30,1,26.036869166666666,26.3443175,1797,1,0,0,0,0,0
Armani,1,10,2020,8,2020-08,23,349.18913,1,6,51,16,15.18213608695652,16.62406,2481,1,0,0,0,0,0
Armani,1,11,2020,9,2020-09,93,2314.90232,38,7,293,48,24.891422795698926,25.363043010752687,36266,1,0,0,0,0,0
Armani,1,12,2020,10,2020-10,14,76.61485,0,1,44,13,5.472489285714286,8.311988571428572,406,1,0,0,0,0,0
Armani,1,13,2020,11,2020-11,9,210.69181,0,1,21,4,23.41020111111111,24.155065555555556,1306,1,0,0,0,0,0
Armani,1,14,2020,12,2020-12,2,47.8247,0,0,4,1,23.91235,25.393700000000003,269,1,0,0,0,0,0
Armani,1,15,2021,1,2021-01,27,587.35795,1,1,71,20,21.753998148148145,23.29529037037037,5343,1,0,0,0,0,0
Armani,1,16,2021,2,2021-02,32,472.11129,0,9,81,19,14.7534778125,17.195051875,2390,1,0,0,0,0,0
Armani,1,17,2021,3,2021-03,8,214.78684,0,2,15,2,26.848355,27.45569625,7293,1,0,0,0,0,0
Armani,1,18,2021,4,2021-04,15,277.53889,1,2,34,7,18.502592666666665,20.165548,1595,1,0,0,0,0,0
Armani,1,19,2021,5,2021-05,12,185.61347,0,4,31,8,15.467789166666668,17.920576666666665,1500,1,0,0,0,0,0
Armani,1,20,2021,6,2021-06,23,610.72525,0,13,72,10,26.553271739130434,26.969822173913045,3101,1,0,0,0,0,0
Armani,1,21,2021,7,2021-07,58,1469.14023,7,11,253,74,25.330003965517243,26.174646551724138,9134,1,0,0,0,0,0
Armani,1,22,2021,8,2021-08,18,407.13558,0,0,62,16,22.618643333333335,24.14631111111111,2470,1,0,0,0,0,0
Armani,1,23,2021,9,2021-09,63,1482.4477,17,20,232,16,23.53091587301587,24.847216984126984,11575,1,0,0,0,0,0
Armani,1,24,2021,10,2021-10,18,554.16808,1,4,53,8,30.78711555555556,30.696149444444448,5489,1,0,0,0,0,0
Armani,1,25,2021,11,2021-11,32,854.75901,3,9,80,14,26.7112190625,27.269208125,11141,1,0,0,0,0,0
Armani,1,26,2021,12,2021-12,41,793.83948,2,6,131,51,19.361938536585367,21.253183902439023,11890,1,0,0,0,0,0
Armani,1,27,2022,1,2022-01,7,202.97292,0,1,16,0,28.996131428571427,29.17435857142857,1306,1,0,0,0,0,0
Armani,1,28,2022,2,2022-02,78,1821.14708,31,15,288,90,23.348039487179488,24.546231153846154,13655,1,0,0,0,0,0
Armani,1,29,2022,3,2022-03,29,768.25687,0,7,132,56,26.491616206896552,27.323220344827586,7581,1,0,0,0,0,0
Armani,1,30,2022,4,2022-04,17,466.61105,4,3,38,4,27.44770882352941,28.247738823529414,4695,1,0,0,0,0,0
Armani,1,31,2022,5,2022-05,58,1519.29049,35,14,137,18,26.194663620689656,26.973209310344828,12502,1,0,0,0,0,0
Armani,1,32,2022,6,2022-06,55,1321.26676,3,27,151,49,24.023032,25.19265563636364,10203,1,0,0,0,0,0
Armani,1,33,2022,7,2022-07,20,497.61735,0,13,48,8,24.8808675,25.9993315,2881,1,0,0,0,0,0
Armani,1,34,2022,8,2022-08,11,281.45856,2,1,20,2,25.587141818181816,26.713409090909092,1919,1,0,0,0,0,0
Burberry,2,0,2017,1,2017-01,19,435.30687,1,1,52,14,22.91088789473684,24.85503157894737,4363,0,1,0,0,0,0
Burberry,2,0,2017,2,2017-02,120,3161.73065,2,9,472,124,26.347755416666665,27.51774675,45038,0,1,0,0,0,0
Burberry,2,0,2017,3,2017-03,99,2210.13214,1,7,230,98,22.324567070707072,24.307820202020203,23331,0,1,0,0,0,0
Burberry,2,0,2017,4,2017-04,72,1697.26523,1,5,189,87,23.573128194444443,25.298428194444444,17181,0,1,0,0,0,0
Burberry,2,0,2017,5,2017-05,139,3303.68117,1,19,415,156,23.767490431654675,25.52595784172662,49485,0,1,0,0,0,0
Burberry,2,0,2017,6,2017-06,92,2020.65917,5,7,262,102,21.963686630434783,23.992629782608695,18505,0,1,0,0,0,0
Burberry,2,0,2017,7,2017-07,90,2288.52762,3,6,240,88,25.428084666666663,26.666488222222224,24817,0,1,0,0,0,0
Burberry,2,0,2017,8,2017-08,66,1596.65713,1,4,185,68,24.1917746969697,25.86467909090909,23108,0,1,0,0,0,0
Burberry,2,0,2017,9,2017-09,188,4678.58681,2,5,629,198,24.886100053191488,26.328783617021276,122314,0,1,0,0,0,0
